,News Source,Time of Tweet,Pos,Neg,Neu,compound
0,@BBC,Mon Aug 27 20:01:03 +0000 2018,0.194,0.0,0.806,0.624
1,@BBC,Mon Aug 27 19:36:00 +0000 2018,0.064,0.0,0.936,0.0772
2,@BBC,Mon Aug 27 19:03:04 +0000 2018,0.186,0.062,0.752,0.5859
3,@BBC,Mon Aug 27 18:12:05 +0000 2018,0.0,0.138,0.862,-0.4939
4,@BBC,Mon Aug 27 17:05:04 +0000 2018,0.0,0.0,1.0,0.0
5,@BBC,Mon Aug 27 16:03:04 +0000 2018,0.056,0.0,0.944,0.0772
6,@BBC,Mon Aug 27 14:08:03 +0000 2018,0.0,0.0,1.0,0.0
7,@BBC,Mon Aug 27 12:11:04 +0000 2018,0.109,0.0,0.891,0.296
8,@BBC,Mon Aug 27 10:05:03 +0000 2018,0.207,0.0,0.793,0.5719
9,@BBC,Mon Aug 27 09:01:02 +0000 2018,0.0,0.0,1.0,0.0
10,@BBC,Mon Aug 27 08:10:04 +0000 2018,0.0,0.157,0.843,-0.3818
11,@BBC,Sun Aug 26 19:39:07 +0000 2018,0.0,0.172,0.828,-0.4003
12,@BBC,Sun Aug 26 19:13:06 +0000 2018,0.122,0.408,0.469,-0.7269
13,@BBC,Sun Aug 26 18:05:00 +0000 2018,0.0,0.0,1.0,0.0
14,@BBC,Sun Aug 26 16:46:09 +0000 2018,0.381,0.0,0.619,0.5719
15,@BBC,Sun Aug 26 16:32:00 +0000 2018,0.0,0.0,1.0,0.0
16,@BBC,Sun Aug 26 15:05:02 +0000 2018,0.124,0.067,0.81,0.296
17,@BBC,Sun Aug 26 14:07:04 +0000 2018,0.0,0.0,1.0,0.0
18,@BBC,Sun Aug 26 12:06:05 +0000 2018,0.0,0.295,0.705,-0.6808
19,@BBC,Sun Aug 26 11:01:06 +0000 2018,0.132,0.0,0.868,0.4404
20,@BBC,Mon Aug 27 20:01:03 +0000 2018,0.194,0.0,0.806,0.624
21,@BBC,Mon Aug 27 19:36:00 +0000 2018,0.064,0.0,0.936,0.0772
22,@BBC,Mon Aug 27 19:03:04 +0000 2018,0.186,0.062,0.752,0.5859
